Nr,Tree name,product_category,Years,Business as usual,Combined effect,Compost,Technical and Market support,,,
1,Ficus vasta,FuelWood,2046,0,0,0,0,,,
1,Ficus vasta,FuelWood,2047,0,0,0,0,,,
1,Ficus vasta,FuelWood,2048,0,0,0,0,,,
1,Ficus vasta,FuelWood,2049,0,0,0,0,,,
1,Ficus vasta,FuelWood,2050,0,0,0,0,,,
1,Ficus vasta,FuelWood,2051,0,0,0,0,,,
1,Ficus vasta,FuelWood,2052,0,0,0,0,,,
1,Ficus vasta,FuelWood,2053,0,0,0,0,,,
1,Ficus vasta,FuelWood,2054,0,0,0,0,,,
1,Ficus vasta,FuelWood,2055,0,0,0,0,,,
1,Ficus vasta,FuelWood,2056,0,0,0,0,,,
1,Ficus vasta,FuelWood,2057,0,0,0,0,,,
1,Ficus vasta,FuelWood,2058,0,0,0,0,,,
1,Ficus vasta,FuelWood,2059,0,0,0,0,,,
1,Ficus vasta,FuelWood,2060,0,0,0,0,,,
1,Ficus vasta,FuelWood,2061,0,0,0,0,,,
1,Ficus vasta,FuelWood,2062,0,0,0,0,,,
1,Ficus vasta,FuelWood,2063,13.89963888,15.801644,15.31056954,14.35248991,,,
1,Ficus vasta,FuelWood,2064,0,0,0,0,,,
1,Albizia gummifera,FuelWood,2024,0.05860193,0.067386273,0.065354249,0.059787999,,,
1,Albizia gummifera,FuelWood,2025,0.059563245,0.068570023,0.066371267,0.060835291,,,
1,Albizia gummifera,FuelWood,2026,0.062731358,0.071097443,0.068803401,0.06335007,,,
1,Albizia gummifera,FuelWood,2027,0.064715129,0.073099377,0.070619826,0.0653502,,,
1,Albizia gummifera,FuelWood,2028,0.06654268,0.074783796,0.072191668,0.06720129,,,
1,Albizia gummifera,FuelWood,2029,0.075883935,0.083135976,0.080055129,0.076612549,,,
1,Albizia gummifera,FuelWood,2030,0.076194952,0.084081332,0.081120049,0.077889253,,,
1,Albizia gummifera,FuelWood,2031,0.073836101,0.081021627,0.078021855,0.075184316,,,
1,Albizia gummifera,FuelWood,2032,0.077001866,0.084345464,0.081325989,0.079042811,,,
1,Albizia gummifera,FuelWood,2033,0.075881769,0.083612819,0.080560371,0.078377369,,,
1,Albizia gummifera,FuelWood,2034,0.073657077,0.081025365,0.078022213,0.075782942,,,
1,Albizia gummifera,FuelWood,2035,0.069373674,0.076577734,0.07379027,0.071460542,,,
1,Albizia gummifera,FuelWood,2036,0.065240529,0.072338879,0.069814742,0.067338123,,,
